IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.192.250,4,4,0.00,150.47,30.19
104.17.73.35,4,4,0.00,152.62,29.41
104.17.134.5,4,4,0.00,151.11,26.69
104.17.196.42,4,4,0.00,151.63,25.82
104.16.21.74,4,4,0.00,152.00,24.31
104.16.191.221,4,4,0.00,151.42,24.13
104.17.105.64,4,4,0.00,152.01,23.11
104.17.157.69,4,4,0.00,151.09,15.11
104.17.149.207,4,4,0.00,151.23,3.20
104.17.220.63,4,4,0.00,149.59,0.00
